iter	Passed	Remaining
509	589	566
510	591	565
511	592	564
512	593	563
513	594	562
514	595	560
515	596	559
516	597	558
517	599	557
518	600	556
519	601	555
520	602	553
521	603	552
522	604	551
523	605	550
524	607	549
525	608	548
526	609	547
527	610	546
528	611	544
529	613	543
530	614	542
531	615	541
532	616	540
533	617	539
534	618	537
535	619	536
536	621	535
537	622	534
538	623	533
539	624	532
540	625	530
541	626	529
542	628	528
543	629	527
544	631	526
545	632	525
546	633	524
547	634	523
548	635	522
549	637	521
550	638	520
551	639	518
552	640	517
553	641	516
554	643	515
555	644	514
556	645	513
557	646	512
558	647	511
559	649	510
560	650	508
561	651	507
562	652	506
563	653	505
564	655	504
565	656	503
566	657	501
567	658	500
568	659	499
569	660	498
570	661	497
571	663	496
572	664	495
573	665	493
574	666	492
575	667	491
576	668	490
577	670	489
578	671	487
579	672	486
580	673	485
581	674	484
582	675	483
583	676	482
584	678	481
585	679	480
586	681	479
587	682	478
588	683	476
589	684	475
590	685	474
591	686	473
592	688	472
593	689	471
594	690	469
595	692	469
596	693	468
597	694	466
598	695	465
599	697	465
600	698	463
601	699	462
602	700	461
603	702	460
604	703	459
605	704	458
606	706	457
607	707	455
608	708	454
609	709	453
610	710	452
611	711	451
612	712	450
613	714	448
614	715	447
615	716	446
616	717	445
617	719	444
618	720	443
619	721	442
620	722	440
621	723	439
622	724	438
623	725	437
624	726	436
625	733	438
626	735	437
627	737	436
628	738	435
629	739	434
630	741	433
631	742	432
632	743	430
633	744	429
634	745	428
635	746	427
636	747	426
637	749	425
638	750	423
639	751	422
640	752	421
641	753	420
642	754	419
643	756	417
644	757	416
645	758	415
646	759	414
647	760	413
648	761	411
649	762	410
650	763	409
651	765	408
652	766	407
653	767	406
654	769	405
655	770	403
656	771	402
657	773	401
658	774	400
659	775	399
660	776	398
661	777	397
662	778	395
663	780	394
664	781	393
665	782	392
666	783	391
667	785	390
668	786	389
669	787	387
670	788	386
671	790	385
672	791	384
673	792	383
674	793	382
675	794	380
676	795	379
677	797	378
678	798	377
679	799	376
680	800	375
681	801	373
682	802	372
683	804	371
684	805	370
685	807	369
686	808	368
687	809	367
688	810	366
689	812	364
690	813	363
691	814	362
692	815	361
693	816	360
694	817	358
695	819	357
696	820	356
697	821	355
698	822	354
699	823	352
700	824	351
701	825	350
702	827	349
703	828	348
704	829	347
705	830	345
706	831	344
707	832	343
708	834	342
709	835	341
710	836	339
711	837	338
712	838	337
713	839	336
714	840	335
715	842	334
716	843	332
717	844	331
718	845	330
719	846	329
720	847	328
721	848	326
722	850	325
723	851	324
724	852	323
725	853	322
726	854	321
727	856	319
728	857	318
729	858	317
730	859	316
731	860	315
732	861	313
733	862	312
734	864	311
735	865	310
736	866	309
737	867	307
738	868	306
739	869	305
740	870	304
741	872	303
742	873	302
743	874	300
744	875	299
745	876	298
746	877	297
747	878	296
748	880	294
749	881	293
750	882	292
751	883	291
752	884	290
753	885	289
754	887	287
755	888	286
756	889	285
757	890	284
758	891	283
759	893	282
760	894	280
761	895	279
762	896	278
763	897	277
764	898	276
765	900	275
766	901	273
767	902	272
768	903	271
769	904	270
770	905	269
771	907	267
772	908	266
773	909	265
774	910	264
775	911	263
776	912	262
777	914	260
778	915	259
779	916	258
780	917	257
781	918	256
782	919	254
783	921	253
784	922	252
785	923	251
786	924	250
787	925	248
788	926	247
789	927	246
790	928	245
791	930	244
792	931	243
793	932	241
794	933	240
795	934	239
796	936	238
797	937	237
798	938	236
799	939	234
800	940	233
801	941	232
802	942	231
803	943	230
804	945	228
805	946	227
806	947	226
807	948	225
808	949	224
809	950	223
810	951	221
811	953	220
812	954	219
813	955	218
814	956	217
815	957	215
816	958	214
817	959	213
818	960	212
819	962	211
820	963	210
821	964	208
822	965	207
823	966	206
824	968	205
825	969	204
826	970	203
827	971	201
828	972	200
829	973	199
830	975	198
831	976	197
832	977	195
833	978	194
834	980	193
835	981	192
836	982	191
837	983	190
838	984	188
839	985	187
840	986	186
841	987	185
842	989	184
843	990	183
844	991	181
845	992	180
846	993	179
847	994	178
848	995	177
849	996	175
850	998	174
851	999	173
852	1000	172
853	1001	171
854	1002	170
855	1003	168
856	1005	167
857	1006	166
858	1007	165
859	1008	164
860	1009	163
861	1010	161
862	1011	160
863	1013	159
864	1014	158
865	1015	157
866	1016	155
867	1017	154
868	1018	153
869	1019	152
870	1020	151
871	1021	150
872	1023	148
873	1024	147
874	1025	146
875	1026	145
876	1027	144
877	1028	142
878	1030	141
879	1031	140
880	1032	139
881	1033	138
882	1034	137
883	1035	135
884	1036	134
885	1037	133
886	1038	132
887	1040	131
888	1041	130
889	1042	128
890	1043	127
891	1044	126
892	1045	125
893	1046	124
894	1048	122
895	1049	121
896	1050	120
897	1051	119
898	1052	118
899	1053	117
900	1054	115
901	1056	114
902	1057	113
903	1058	112
904	1059	111
905	1060	110
906	1061	108
907	1062	107
908	1063	106
909	1065	105
910	1066	104
911	1067	102
912	1068	101
913	1069	100
914	1070	99
915	1071	98
916	1072	97
917	1073	95
918	1075	94
919	1076	93
920	1077	92
921	1078	91
922	1079	90
923	1080	88
924	1081	87
925	1083	86
926	1084	85
927	1085	84
928	1086	83
929	1087	81
930	1088	80
931	1089	79
932	1090	78
933	1091	77
934	1092	75
935	1094	74
936	1095	73
937	1096	72
938	1097	71
939	1098	70
940	1099	68
941	1100	67
942	1102	66
943	1103	65
944	1104	64
945	1105	63
946	1106	61
947	1107	60
948	1108	59
949	1110	58
950	1111	57
951	1112	56
952	1113	54
953	1114	53
954	1115	52
955	1116	51
956	1117	50
957	1119	49
958	1120	47
959	1121	46
960	1122	45
961	1123	44
962	1124	43
963	1126	42
964	1127	40
965	1128	39
966	1129	38
967	1131	37
968	1132	36
969	1133	35
970	1135	33
971	1136	32
972	1137	31
973	1138	30
974	1139	29
975	1140	28
976	1141	26
977	1143	25
978	1144	24
979	1145	23
980	1146	22
981	1147	21
982	1149	19
983	1150	18
984	1151	17
985	1152	16
986	1153	15
987	1154	14
988	1155	12
989	1156	11
990	1158	10
991	1159	9
992	1160	8
993	1161	7
994	1162	5
995	1163	4
996	1164	3
997	1165	2
998	1167	1
999	1168	0
